Country,CNRY_ABBR,Region,CPI_SCORE_2018
Denmark,DNK,WE/EU,88
New Zealand,NZL,AP,87
Finland,FIN,WE/EU,85
Singapore,SGP,AP,85
Sweden,SWE,WE/EU,85
Switzerland,CHE,WE/EU,85
Norway,NOR,WE/EU,84
Netherlands,NLD,WE/EU,82
Canada,CAN,AME,81
Luxembourg,LUX,WE/EU,81
Germany,DEU,WE/EU,80
United Kingdom,GBR,WE/EU,80
Australia,AUS,AP,77
Austria,AUT,WE/EU,76
Hong Kong,HKG,AP,76
Iceland,ISL,WE/EU,76
Belgium,BEL,WE/EU,75
Estonia,EST,WE/EU,73
Ireland,IRL,WE/EU,73
Japan,JPN,AP,73
France,FRA,WE/EU,72
United States of America,USA,AME,71
United Arab Emirates,ARE,MENA,70
Uruguay,URY,AME,70
Barbados,BRB,AME,68
Bhutan,BTN,AP,68
Chile,CHL,AME,67
Seychelles,SYC,SSA,66
Bahamas,BHS,AME,65
Portugal,PRT,WE/EU,64
Brunei Darussalam,BRN,AP,63
Taiwan,TWN,AP,63
Qatar,QAT,MENA,62
Botswana,BWA,SSA,61
Israel,ISR,MENA,61
Poland,POL,WE/EU,60
Slovenia,SVN,WE/EU,60
Cyprus,CYP,WE/EU,59
Czech Republic,CZE,WE/EU,59
Lithuania,LTU,WE/EU,59
Georgia,GEO,ECA,58
Latvia,LVA,WE/EU,58
Saint Vincent and the Grenadines,VCT,AME,58
Spain,ESP,WE/EU,58
Cabo Verde,CPV,SSA,57
Dominica,DMA,AME,57
"Korea, South",KOR,AP,57
Costa Rica,CRI,AME,56
Rwanda,RWA,SSA,56
Saint Lucia,LCA,AME,55
Malta,MLT,WE/EU,54
Namibia,NAM,SSA,53
Grenada,GRD,AME,52
Italy,ITA,WE/EU,52
Oman,OMN,MENA,52
Mauritius,MUS,SSA,51
Slovakia,SVK,WE/EU,50
Jordan,JOR,MENA,49
Saudi Arabia,SAU,MENA,49
Croatia,HRV,WE/EU,48
Cuba,CUB,AME,47
Malaysia,MYS,AP,47
Romania,ROU,WE/EU,47
Hungary,HUN,WE/EU,46
Sao Tome and Principe,STP,SSA,46
Vanuatu,VUT,AP,46
Greece,GRC,WE/EU,45
Montenegro,MNE,ECA,45
Senegal,SEN,SSA,45
Belarus,BLR,ECA,44
Jamaica,JAM,AME,44
Solomon Islands,SLB,AP,44
Morocco,MAR,MENA,43
South Africa,ZAF,SSA,43
Suriname,SUR,AME,43
Tunisia,TUN,MENA,43
Bulgaria,BGR,WE/EU,42
Burkina Faso,BFA,SSA,41
Ghana,GHA,SSA,41
India,IND,AP,41
Kuwait,KWT,MENA,41
Lesotho,LSO,SSA,41
Trinidad and Tobago,TTO,AME,41
Turkey,TUR,ECA,41
Argentina,ARG,AME,40
Benin,BEN,SSA,40
China,CHN,AP,39
Serbia,SRB,ECA,39
Bosnia and Herzegovina,BIH,ECA,38
Indonesia,IDN,AP,38
Sri Lanka,LKA,AP,38
Swaziland,SWZ,SSA,38
Gambia,GMB,SSA,37
Guyana,GUY,AME,37
Kosovo,KSV,ECA,37
Macedonia,MKD,ECA,37
Mongolia,MNG,AP,37
Panama,PAN,AME,37
Albania,ALB,ECA,36
Bahrain,BHR,MENA,36
Colombia,COL,AME,36
Philippines,PHL,AP,36
Tanzania,TZA,SSA,36
Thailand,THA,AP,36
Algeria,DZA,MENA,35
Armenia,ARM,ECA,35
Brazil,BRA,AME,35
Cote d'Ivoire,CIV,SSA,35
Egypt,EGY,MENA,35
El Salvador,SLV,AME,35
Peru,PER,AME,35
Timor-Leste,TLS,AP,35
Zambia,ZMB,SSA,35
Ecuador,ECU,AME,34
Ethiopia,ETH,SSA,34
Niger,NER,SSA,34
Moldova,MDA,ECA,33
Pakistan,PAK,AP,33
Vietnam,VNM,AP,33
Liberia,LBR,SSA,32
Malawi,MWI,SSA,32
Mali,MLI,SSA,32
Ukraine,UKR,ECA,32
Djibouti,DJI,SSA,31
Gabon,GAB,SSA,31
Kazakhstan,KAZ,ECA,31
Maldives,MDV,AP,31
Nepal,NPL,AP,31
Dominican Republic,DOM,AME,30
Sierra Leone,SLE,SSA,30
Togo,TGO,SSA,30
Bolivia,BOL,AME,29
Honduras,HND,AME,29
Kyrgyzstan,KGZ,ECA,29
Laos,LAO,AP,29
Myanmar,MMR,AP,29
Paraguay,PRY,AME,29
Guinea,GIN,SSA,28
Iran,IRN,MENA,28
Lebanon,LBN,MENA,28
Mexico,MEX,AME,28
Papua New Guinea,PNG,AP,28
